D 2F EF 56 0 0
D 2F F4 E8 0 0
5 30 5 A 80 0
D 30 3C F 80 0
5 30 46 BF 80 0
5 30 49 41 0 0
D 30 A0 67 80 0
5 30 C5 6D 80 0
5 31 0 F0 80 0
5 31 D5 B7 0 0
5 32 33 EC 0 0
5 32 AA A2 0 0
D 32 D7 AA 0 0
D 33 3 34 80 0
D 33 51 F3 0 0
5 33 6F BD 0 0
5 33 73 6 0 0
5 33 A9 6A 80 0
5 34 41 8D 0 0
5 34 4F 44 0 0
5 34 5E D 0 0
5 35 1D 80 80 0
5 35 41 25 80 0
D 36 1 B4 80 0
5 36 1E 9A 80 0
D 36 36 2B 80 0
D 36 47 66 80 0
5 36 49 EF 0 0
5 36 95 D 0 0
5 37 8 E1 80 0
1D 37 4A 46 80 0
D 37 57 D6 0 0
D 37 70 80 0 0
D 37 85 23 0 0
5 37 E3 75 80 0
5 38 CA 6C 0 0
D 38 E8 3 0 0
5 38 F7 E3 0 0
D 39 29 E8 0 0
5 39 51 90 80 0
D 39 63 C3 0 0
5 39 7E D6 80 0
D 39 BD AC 0 0
D 3A B8 20 0 0
D 3A BF 15 0 0
5 3A D3 F 0 0
5 3B AD 1E 80 0
5 3B E8 80 80 0
D 3B EE 5D 0 0
5 3B EF 5D 80 0
D 3C 2A D7 0 0
5 3C 33 3D 0 0
D 3C 6C 43 0 0
5 3D B 47 0 0
5 3D E 5B 80 0
5 3D 8B 31 0 0
5 3E 61 E3 0 0
5 3E C5 31 80 0
D 3F 88 BE 80 0
5 3F DB BD 0 0
5 40 A1 D 0 0
5 40 D5 52 80 0
5 41 5E 2D 0 0
D 41 97 1D 0 0
D 42 C4 EC 0 0
5 44 71 B1 0 0
5 44 83 20 0 0
5 46 1F DD 80 0
5 46 47 8B 80 0
5 46 61 0 80 0
5 46 65 8 0 0
D 46 C1 6A 0 0
5 46 D2 9A 0 0
5 46 F4 C8 0 0
5 47 B1 12 0 0
D 47 B3 68 0 0
D 48 C9 AA 0 0
5 48 FD 9B 80 0
D 48 FD B4 80 0
D 4A 38 8D 80 0
5 4A 98 35 0 0
5 4A AB 27 0 0
D 4A BB 2C 80 0
5 4A CC 7E 0 0
5 4B 6 5F 0 0
5 4B 13 6C 0 0
5 4B C0 72 0 0
5 4E 9E DA 80 0
5 4E D2 36 80 0
D 4F 8 9D 0 0
5 4F 74 EA 0 0
5 4F B0 11 0 0
5 4F B1 F9 0 0
D 50 21 FA 80 0
5 50 33 C3 80 0
5 50 36 DC 80 0
