C EC 9A 75 80 0
C EC A8 67 0 0
4 EC C1 AB 0 0
4 ED 45 9C 80 0
C ED 96 6A 80 0
4 ED BB 28 0 0
4 EE 0 C7 80 0
C EE 62 9A 0 0
C EE 73 CF 80 0
4 EE 81 E7 0 0
4 EE B7 75 0 0
4 EE BA 56 80 0
C EE E9 14 80 0
4 EF 58 16 0 0
4 EF A5 B2 80 0
C EF A8 7E 0 0
4 EF C4 45 0 0
4 EF F1 54 0 0
C EF FE BB 0 0
4 F0 32 75 0 0
C F0 82 19 0 0
4 F1 21 C0 80 0
4 F1 90 6B 0 0
4 F2 13 89 80 0
C F2 57 6F 0 0
4 F2 61 3A 0 0
4 F2 FC 53 0 0
4 F3 23 53 0 0
4 F3 4B C4 80 0
4 F3 77 AE 80 0
C F3 B0 4E 80 0
C F3 BB D6 80 0
4 F4 E 17 0 0
C F4 1D D 80 0
C F4 8C B5 0 0
4 F4 E7 FD 80 0
C F5 31 8D 0 0
4 F5 54 36 0 0
4 F5 C1 49 0 0
C F5 CC 47 0 0
4 F6 9A BA 80 0
4 F7 83 BA 80 0
4 F8 3E 87 0 0
4 F8 AF 56 80 0
4 F8 B5 9E 80 0
4 F9 75 39 80 0
4 FA 37 8D 80 0
1C FA A2 15 0 0
C FA CF 8 0 0
4 FA F5 96 0 0
4 FB 32 8A 0 0
C FB 34 46 0 0
4 FC C7 6A 0 0
4 FD 1C B6 80 0
C FD ED 26 0 0
4 FE A2 8C 0 0
4 FE C7 AF 0 0
C FF 39 12 0 0
4 FF 5D C9 0 0
C FF 6E D1 0 0
4 FF 9A 7B 80 0
5 0 63 5F 0 0
D 0 A6 5F 0 0
5 0 BD 47 0 0
5 1 43 96 80 0
5 1 5E B0 0 0
5 1 5F C9 0 0
5 1 AC 5A 80 0
5 2 11 19 80 0
D 2 2A 2F 0 0
5 3 64 1A 80 0
5 3 AA F7 80 0
5 4 32 87 0 0
1D 4 4E 65 80 0
5 5 23 4A 80 0
5 5 D3 65 80 0
5 5 ED 46 80 0
5 5 F9 DB 0 0
D 6 BA 9B 0 0
D 6 CE 76 0 0
D 6 FD A0 0 0
D 8 29 78 80 0
5 8 3D DE 80 0
5 8 EA E5 80 0
5 9 34 A9 0 0
5 9 49 4F 0 0
D 9 6D 70 0 0
D 9 97 A 80 0
D A 78 F9 0 0
D B 9F 3F 0 0
5 C C5 AC 80 0
5 C FF A5 0 0
D D 18 CD 0 0
5 D 5A DC 80 0
5 E 1B 1F 80 0
1D E 24 77 80 0
5 E D0 FA 80 0
5 F 62 10 80 0
D F 94 6E 0 0
D 10 47 2B 0 0
D 10 BB C5 0 0
5 11 74 67 0 0
5 11 83 6A 80 0
5 11 C4 96 0 0
D 13 9 F4 0 0
5 13 7A 76 80 0
D 13 E2 D0 0 0
5 14 5 AC 80 0
5 14 24 62 80 0
D 14 62 8E 80 0
5 14 9E 98 0 0
D 16 50 D4 80 0
D 16 5A 31 80 0
5 16 ED 5F 80 0
D 17 1B 31 0 0
5 17 34 56 80 0
D 17 4A 76 80 0
D 17 6A 65 80 0
5 17 DC CB 80 0
5 18 7 9D 0 0
5 18 4E C5 0 0
5 19 C3 F3 80 0
D 1A 14 A5 80 0
5 1B C2 A4 80 0
5 1C 56 E 0 0
1D 1C 84 8E 80 0
D 1D 6 5E 0 0
1D 1D D E8 80 0
D 1D 23 C6 80 0
D 1E 2A 45 80 0
5 1E 77 8C 80 0
5 1F AB 29 80 0
5 1F C2 3F 0 0
D 20 E ED 0 0
5 20 59 43 0 0
5 20 FB 7E 80 0
5 21 2D DB 80 0
5 21 6A 63 0 0
5 21 6B B5 80 0
5 21 C8 42 0 0
D 21 D1 E2 80 0
5 22 60 FF 0 0
5 22 DF F9 80 0
5 22 FA 8D 0 0
5 23 5E EE 0 0
5 23 84 12 0 0
5 23 B7 D3 0 0
5 23 CE C4 0 0
D 24 15 9 0 0
D 24 52 14 0 0
5 24 AD 5A 0 0
D 25 67 2A 0 0
5 25 68 2D 80 0
5 25 EF 9D 0 0
5 26 3B 8E 0 0
5 26 B5 BF 80 0
D 26 DA 47 80 0
5 27 3B 2A 0 0
D 27 96 C7 0 0
5 27 FF 21 80 0
D 28 56 D8 80 0
D 28 9E 36 0 0
5 29 3C BF 0 0
D 2A 33 0 0 0
5 2A 5E 1F 80 0
D 2A 65 3A 0 0
D 2A 69 EA 0 0
5 2B 50 FC 80 0
5 2C 2B F2 0 0
5 2C 30 BE 80 0
D 2C 91 98 80 0
5 2D 7F 29 0 0
5 2D AF EE 0 0
5 2D C4 6C 80 0
D 2D FC FD 80 0
