5 B0 E7 76 0 0
5 B1 31 C3 0 0
5 B1 42 32 0 0
5 B1 50 E0 80 0
5 B1 53 B4 80 0
5 B1 B2 3D 80 0
D B1 CF E1 0 0
D B2 5F BD 80 0
D B3 29 A6 0 0
D B3 D1 E8 0 0
5 B3 DE 71 0 0
5 B4 1B 68 0 0
5 B4 3C D7 80 0
5 B4 EA D7 0 0
D B4 EC 25 80 0
5 B4 EF 59 80 0
D B5 39 93 80 0
5 B5 F7 E7 0 0
D B6 36 6 0 0
5 B6 A1 F0 0 0
5 B7 14 D9 0 0
D B7 53 AC 0 0
5 B7 AA 4C 0 0
D B8 A8 9F 80 0
5 B8 B8 42 0 0
5 B8 D0 63 80 0
5 B9 15 8B 0 0
D B9 77 88 0 0
5 B9 93 1A 80 0
5 B9 F1 13 0 0
5 BA 3B EA 0 0
D BA 72 DC 80 0
5 BA C8 FA 0 0
5 BB CB 4B 80 0
5 BB D9 96 80 0
5 BC 77 DE 80 0
5 BD 56 40 80 0
5 BD 92 DE 0 0
5 BE 4D 7B 0 0
D BE 5C 4E 80 0
5 BF 4A B1 80 0
D BF C7 18 0 0
D C0 F 42 0 0
D C0 72 22 80 0
5 C0 8B 3F 0 0
5 C0 C0 96 80 0
5 C0 CE B6 80 0
5 C0 E1 EF 0 0
5 C2 37 1D 0 0
5 C2 F2 AC 0 0
5 C3 29 C7 80 0
5 C3 EA C5 0 0
5 C5 30 35 0 0
5 C5 45 66 0 0
D C5 69 1C 80 0
5 C6 23 78 80 0
5 C6 51 48 0 0
D C6 81 68 80 0
5 C6 B7 E1 0 0
5 C7 93 47 80 0
D C7 A7 EB 0 0
D C7 BA 2D 0 0
D C7 D4 4A 0 0
5 C8 24 4D 80 0
D C8 41 27 0 0
D C8 F0 E1 0 0
5 C9 30 1F 0 0
5 C9 91 17 0 0
5 CA 34 A 0 0
D CA 7A 95 0 0
5 CB 4A 8E 80 0
5 CB 7F A4 0 0
D CB AA 40 80 0
5 CB DF 8 80 0
5 CB E9 50 80 0
5 CC 2D 3F 80 0
D CC 31 D5 0 0
5 CC 62 F5 0 0
5 CC 6D DF 0 0
5 CC 97 8A 80 0
5 CD 5 52 0 0
5 CD 1A 46 80 0
1D CD 5D 2 80 0
D CD E5 94 0 0
5 CE 0 C7 0 0
5 CE 74 B8 0 0
5 CF 4C 71 0 0
5 CF E4 F2 0 0
D D0 2A 24 80 0
5 D0 D0 1E 80 0
5 D1 89 5B 80 0
5 D3 2B CD 80 0
5 D3 A6 9B 80 0
D D4 C2 DC 80 0
5 D5 5B 76 80 0
D D5 BC BD 0 0
D D6 1E 89 0 0
5 D6 D5 97 80 0
5 D7 30 F2 80 0
D D7 33 85 0 0
D D7 D3 BF 0 0
5 D8 EC 49 80 0
5 DA 31 40 80 0
5 DB 67 32 0 0
D DB 8A 34 80 0
D DD B6 46 80 0
5 DE A5 58 80 0
5 DF 78 16 0 0
5 E0 D9 18 80 0
5 E0 F5 AD 0 0
5 E1 27 B2 80 0
D E1 53 D3 0 0
5 E2 55 EA 0 0
5 E2 5E 62 80 0
5 E2 5F D 0 0
5 E2 5F E8 0 0
5 E2 ED BA 80 0
5 E3 34 1E 0 0
D E3 7B 69 80 0
D E3 DB 98 80 0
D E4 9E 13 0 0
D E4 E7 7F 0 0
5 E5 41 E7 80 0
5 E5 BC B5 80 0
D E6 EE 73 80 0
5 E6 F5 DF 0 0
5 E7 50 6F 0 0
5 E7 57 CD 80 0
5 E7 C2 35 80 0
D E7 DF DB 0 0
5 E8 21 D 0 0
5 E8 EC 60 0 0
5 E9 20 A4 80 0
D E9 76 D3 0 0
5 E9 D3 98 80 0
5 E9 E5 CB 80 0
5 EA A3 A3 80 0
D EB 1E F8 0 0
5 EB 48 CB 80 0
5 EC A 57 80 0
D EC 4B D5 0 0
5 EC 85 85 0 0
5 EC 9C CF 80 0
D ED 1A 8C 80 0
5 ED D3 73 80 0
5 ED F0 3 80 0
D EE 27 66 0 0
D EE 3D 2D 0 0
5 EF 7C F1 80 0
5 EF CA D9 80 0
D F0 82 31 80 0
5 F1 87 C9 80 0
5 F1 9C FC 80 0
5 F1 CD 32 80 0
D F1 F1 87 80 0
5 F1 F7 8E 80 0
5 F2 39 6A 0 0
D F2 42 CC 80 0
D F2 67 F9 80 0
5 F3 64 81 0 0
5 F4 3 98 80 0
D F7 48 26 80 0
D F7 CC 40 80 0
D F7 EB 95 0 0
5 F8 5F EA 80 0
5 F9 71 57 0 0
D F9 94 1E 80 0
5 F9 A3 D1 0 0
D F9 D4 55 0 0
5 FA 6C 46 80 0
5 FA AB 55 0 0
5 FB 56 6F 0 0
D FB 67 C7 80 0
1D FB 7E 13 0 0
D FC 17 18 0 0
5 FC 71 E7 80 0
5 FD 9 39 0 0
D FD 65 80 80 0
5 FE 2E 6D 0 0
5 FE 6D D4 80 0
5 FE B9 B5 0 0
5 FF 9 DF 80 0
6 0 5B 55 0 0
E 0 62 2D 0 0
6 1 9A BF 0 0
E 1 FB 2 80 0
E 2 81 E7 80 0
E 2 A6 87 80 0
E 2 E3 9E 0 0
6 2 E7 D9 80 0
6 3 84 43 80 0
E 3 90 C9 0 0
6 3 B3 C6 0 0
6 4 62 F1 0 0
E 5 1E 4E 0 0
E 5 72 D6 0 0
6 5 CD 3 0 0
E 5 F5 88 80 0
E 6 5D 47 80 0
6 6 63 2 80 0
E 6 76 4A 80 0
E 6 D3 4B 80 0
6 8 1 A5 0 0
E 8 84 66 0 0
6 8 B4 E2 80 0
E 8 CC B4 0 0
E A 2E 21 80 0
6 A EF AB 80 0
