6 71 F2 EA 80 0
6 72 1D A5 80 0
E 72 CD BB 0 0
6 72 D3 9C 80 0
6 72 D5 CB 80 0
6 74 67 5D 0 0
6 74 C8 8F 80 0
6 74 D0 54 80 0
6 75 92 63 0 0
6 76 70 C9 80 0
6 76 8E 24 0 0
6 78 25 94 80 0
6 78 2E AF 0 0
6 78 6C 5D 0 0
E 79 CC D0 80 0
6 79 DB F5 0 0
E 7A 92 F7 80 0
6 7A BF 11 80 0
6 7B E AE 80 0
E 7B 30 9C 0 0
E 7D 7 E8 80 0
E 7E 1C 14 80 0
6 7E 91 C3 80 0
6 7F 31 41 0 0
E 7F 47 33 0 0
6 7F 84 83 0 0
6 7F B3 81 0 0
6 7F E1 A4 0 0
6 80 2D 6D 0 0
E 80 2E FB 80 0
E 80 8C BC 80 0
E 80 C0 4D 80 0
E 80 C4 AE 80 0
E 80 D7 1B 0 0
E 81 2C 2A 0 0
E 81 42 EA 80 0
E 81 B7 1F 0 0
6 82 39 E3 80 0
6 82 78 5D 0 0
6 82 BD 5F 0 0
E 83 C 4D 0 0
E 83 35 46 0 0
E 83 82 A 0 0
6 83 B6 95 80 0
E 83 C9 B3 0 0
E 84 B2 A6 0 0
6 84 D6 FF 0 0
6 85 D0 44 0 0
E 86 3 4C 80 0
6 86 8E D5 0 0
E 86 BE F9 0 0
E 86 BF C7 80 0
E 86 E5 AE 0 0
6 87 3B 34 80 0
E 87 B7 51 80 0
6 88 A1 9 0 0
6 88 E3 93 80 0
6 88 F5 FB 80 0
6 89 1C A7 80 0
6 89 B6 6D 0 0
6 89 D7 30 0 0
6 89 EB EB 80 0
6 8A 34 FF 80 0
E 8A 36 C2 80 0
6 8C 71 BE 0 0
6 8C 7C E1 80 0
E 8C 91 58 0 0
E 8C C4 CC 80 0
6 8D 90 A4 80 0
6 8D BA 18 80 0
E 8E 48 8D 0 0
6 8F 3A AF 80 0
E 90 49 E9 80 0
6 90 52 5B 80 0
6 91 4F 1B 80 0
6 92 7C AD 80 0
6 92 CD 2 80 0
6 93 2 76 0 0
E 93 49 DE 0 0
E 93 C6 5A 80 0
E 94 83 B0 0 0
E 96 1C 58 80 0
E 96 71 C4 80 0
6 96 98 CC 0 0
6 96 EC 63 80 0
6 98 45 49 0 0
6 98 A0 20 80 0
6 99 7F 9 0 0
6 99 8A 8F 0 0
6 99 B9 4E 80 0
6 99 F0 3F 80 0
E 9A 2A F7 80 0
6 9C 34 E8 0 0
1E 9C 58 70 80 0
6 9C A7 D6 80 0
6 9C C9 35 0 0
6 9C D3 28 80 0
6 9D 65 99 80 0
E 9D B4 5B 0 0
E 9D EA 1E 0 0
6 9E 6 EB 80 0
6 9E 1C 43 0 0
E 9E FE E3 80 0
6 9F 34 78 80 0
6 A0 C0 17 0 0
E A1 8B E1 0 0
6 A2 C6 8A 80 0
E A2 CD 2 0 0
6 A3 26 E8 80 0
E A3 D5 7B 0 0
