7 33 1A D9 80 0
7 33 7D 6 80 0
7 33 AF 94 80 0
7 33 F4 71 0 0
7 34 9A F3 0 0
7 34 A6 BE 0 0
F 34 D1 C4 0 0
7 35 3 33 0 0
F 35 6D 1E 80 0
F 35 D1 92 80 0
1F 35 F4 E 0 0
F 36 C9 F3 80 0
F 37 6 4D 0 0
F 37 2E 8B 80 0
7 37 44 66 80 0
7 38 44 2C 0 0
7 38 58 2 80 0
7 38 5E C5 80 0
F 38 B9 2F 80 0
7 38 C1 54 80 0
F 39 78 DC 80 0
7 39 BD EB 0 0
F 39 F4 54 0 0
F 3A 43 A1 80 0
7 3A BA 96 0 0
7 3A EA DD 0 0
7 3B A2 C1 0 0
7 3B DD 94 80 0
F 3C 88 7E 80 0
F 3D 38 8B 80 0
F 3D BB D6 80 0
F 3D F8 61 0 0
F 3E 5D EE 0 0
7 3E A4 17 80 0
7 3E C9 89 0 0
F 3E E1 F8 0 0
7 3F 7 67 80 0
7 3F 2B D2 0 0
F 3F 49 F9 0 0
7 3F 83 CD 0 0
F 3F FA 24 0 0
F 40 8 8 0 0
7 40 8B E4 80 0
7 40 9D 23 0 0
7 40 D0 9C 0 0
7 41 AC AF 0 0
F 41 E6 3A 80 0
F 42 18 5C 0 0
7 43 E2 E2 80 0
7 44 5B 32 80 0
F 44 A4 40 0 0
1F 45 15 5E 0 0
F 45 D7 59 80 0
F 45 F5 58 80 0
F 46 E2 3B 0 0
7 47 4B AF 80 0
7 48 1E 8 0 0
7 48 72 71 0 0
7 49 C7 6E 0 0
7 4A 80 7E 80 0
7 4A E4 55 80 0
F 4B 41 95 0 0
7 4B 92 41 80 0
7 4B CE 34 0 0
7 4C E 5A 0 0
F 4C 60 A 80 0
F 4C E5 B1 0 0
7 4D 42 5A 0 0
7 4D CC D4 0 0
7 4E 4E C1 80 0
7 4F 8E 25 80 0
F 4F DE 1C 0 0
7 50 4F 12 0 0
F 52 A 4F 0 0
F 52 7E DA 0 0
F 52 E4 26 80 0
7 52 E7 D8 0 0
F 53 A6 34 0 0
F 53 E7 7A 0 0
7 53 F4 C5 0 0
7 54 67 36 0 0
F 55 9 F0 0 0
F 55 C5 70 80 0
F 56 7F 5E 80 0
7 56 8A 69 0 0
7 56 9F 2 80 0
7 58 65 55 80 0
F 58 84 4E 0 0
F 59 34 C9 80 0
F 59 70 CB 80 0
7 59 D2 FF 0 0
7 5A 43 BF 0 0
7 5A AA 8E 0 0
F 5A BD E 80 0
F 5A DA 7C 0 0
7 5B 58 5F 0 0
7 5B 72 A3 0 0
7 5B D2 A8 80 0
7 5B DB 90 0 0
7 5C 13 BC 80 0
7 5D A2 4 80 0
7 5D F0 45 80 0
7 5E 65 C7 0 0
F 5E 8D B1 80 0
7 60 84 BE 0 0
F 60 87 D0 80 0
7 62 2C EB 80 0
7 63 E3 73 80 0
