5 7B 4F 69 0 0
D 7C 6 66 80 0
5 7C 51 3C 80 0
D 7C C7 2B 80 0
D 7D E 9D 80 0
5 7D 31 CA 80 0
5 7D E5 D 0 0
5 7E 1A F3 0 0
5 7E 78 AB 80 0
5 7F 48 4F 0 0
D 7F 8A 37 0 0
D 7F F7 B4 0 0
1D 80 56 39 80 0
D 80 D2 BF 80 0
5 80 FE 55 0 0
5 81 64 77 0 0
D 82 3B 3D 0 0
5 82 5D DA 0 0
5 82 DD C3 80 0
5 83 19 BC 80 0
5 83 21 89 0 0
D 83 E8 8E 80 0
D 84 2C B 80 0
5 84 50 F9 0 0
5 85 F2 71 0 0
5 86 4A BB 80 0
5 86 5C 48 80 0
D 86 65 8 0 0
5 86 74 CA 80 0
5 86 F5 6 0 0
5 87 3E E2 80 0
D 89 60 54 80 0
5 89 75 C4 80 0
5 89 7A 24 0 0
5 89 DB CB 80 0
5 8A 1A E6 0 0
D 8A 35 49 0 0
D 8A 58 D5 80 0
D 8A D1 5E 0 0
5 8D 1F 70 0 0
5 8D 40 18 80 0
D 8D 49 9B 0 0
D 8D 8E BB 80 0
1D 8E CA AE 0 0
5 8E F8 8E 80 0
D 91 41 48 80 0
5 91 53 16 80 0
D 91 63 C0 0 0
5 92 F1 A7 0 0
D 93 41 30 80 0
5 93 9A 34 0 0
5 94 D 3E 80 0
5 94 1D 85 0 0
D 94 8F 20 0 0
5 95 45 D1 0 0
5 95 80 F4 80 0
5 95 82 1A 80 0
D 95 CD 44 0 0
5 95 F7 D1 0 0
D 96 1 DC 80 0
5 96 AA 51 0 0
1D 97 2D 69 80 0
D 97 3F DC 0 0
D 97 73 9A 80 0
5 97 D1 2A 80 0
5 98 95 58 0 0
5 99 8E 94 0 0
5 9A 52 23 80 0
D 9A 89 79 0 0
D 9A 90 A 0 0
D 9A C8 83 80 0
5 9A E7 16 0 0
D 9B 1 67 80 0
D 9D 7C E 0 0
D 9D 93 A9 80 0
D 9D D0 3F 0 0
5 9E BD 0 80 0
D 9F 7D D0 80 0
5 9F A2 33 80 0
D A0 3B CD 80 0
5 A0 BA 92 0 0
D A0 E7 3A 0 0
D A1 E CB 0 0
D A1 71 7A 80 0
5 A1 C3 A0 0 0
D A1 F9 38 80 0
D A2 9F F5 0 0
