E 40 CE B3 0 0
E 40 CE CF 0 0
E 40 DD C0 80 0
6 41 1A 92 0 0
6 41 47 71 80 0
E 41 D5 A0 0 0
E 42 77 B1 80 0
6 42 AA 76 0 0
6 44 F 44 80 0
E 44 8E 64 80 0
6 44 A2 E4 80 0
6 44 A7 6B 80 0
6 45 2B 4 80 0
E 45 EC 69 0 0
6 46 1D A4 80 0
6 46 70 3E 0 0
6 46 9A F3 0 0
6 46 A2 DD 0 0
6 46 E5 49 0 0
6 47 2 4D 80 0
6 47 4 F1 80 0
6 47 86 8D 0 0
E 47 8A 48 0 0
6 47 9A 18 0 0
E 47 9F F5 0 0
E 47 FC FD 80 0
E 48 5A 36 0 0
E 48 60 C3 80 0
E 49 4E 44 0 0
E 4A D 2A 0 0
E 4A 30 F9 80 0
6 4A 3C 7C 0 0
6 4A CC FE 80 0
6 4B F4 85 80 0
6 4C 33 CD 80 0
6 4C C3 B7 0 0
E 4C C5 33 80 0
6 4C DE D5 80 0
E 4D 17 7E 80 0
E 4D 63 7C 0 0
6 4D 68 51 0 0
6 4D E9 58 80 0
6 4E DD 72 0 0
6 4E E4 95 80 0
6 4F 89 32 0 0
6 4F 8F 45 0 0
6 4F 93 14 0 0
E 4F C8 5D 0 0
E 4F DC 9C 0 0
6 50 32 35 80 0
6 50 49 9C 80 0
6 50 82 83 0 0
E 50 A4 73 0 0
6 51 79 7E 0 0
1E 51 8A 71 0 0
E 51 9C AB 80 0
6 51 C1 63 80 0
E 53 25 79 0 0
E 54 10 D7 0 0
6 54 31 13 80 0
E 54 95 FF 80 0
6 54 A2 C2 0 0
6 54 BF 44 0 0
6 54 C5 D8 80 0
6 54 D3 F6 80 0
E 55 23 D6 0 0
6 55 7A 1B 80 0
E 56 13 C7 80 0
E 56 C4 F6 80 0
6 57 E 4 0 0
E 57 13 CE 0 0
E 57 24 71 0 0
6 57 66 9C 80 0
6 57 99 4D 80 0
E 57 B4 42 80 0
6 58 50 23 80 0
6 59 5 F0 80 0
E 59 29 C7 0 0
6 59 F1 B0 80 0
6 5A 3F 17 80 0
6 5A 75 6D 0 0
6 5A 7D C9 80 0
6 5A 98 5B 0 0
6 5B 7C 5E 0 0
6 5C 7A 50 80 0
E 5C AE 4F 0 0
6 5E 1C AA 0 0
6 5E 27 5D 0 0
E 5E 46 2A 80 0
6 5E 6D 32 80 0
6 5E AD F6 80 0
6 5E D6 75 80 0
6 5F 9D D5 80 0
6 5F E1 A2 0 0
E 5F FB D 80 0
6 60 4E 37 80 0
6 60 DC 26 80 0
