6 19 AC 42 0 0
6 19 F6 C3 80 0
6 1A 84 72 0 0
E 1A CC 87 0 0
6 1B E 99 80 0
E 1C F3 16 0 0
1E 1C FB F3 0 0
E 1D 5C 1C 80 0
6 1D F0 7D 0 0
6 1E 3 F8 0 0
6 1E B 99 80 0
E 1E 2A 64 0 0
6 1E 5D EA 80 0
6 1E E0 A9 80 0
6 1E FB A5 0 0
E 1F 9E 87 0 0
6 1F E0 7D 80 0
6 21 1E A7 0 0
E 21 28 F3 0 0
6 21 7F 5C 80 0
E 21 9E 98 0 0
E 21 A8 C3 80 0
6 22 18 FD 0 0
E 22 25 F6 80 0
6 23 39 EC 80 0
E 23 88 B5 0 0
6 24 4A C5 80 0
6 24 B5 83 80 0
E 24 BC 51 80 0
6 24 EB 3E 80 0
6 25 84 F2 80 0
E 25 8C 2 0 0
6 25 AD 1B 80 0
E 25 F8 89 0 0
E 26 E 9C 0 0
E 26 36 1F 0 0
E 27 2C CE 80 0
6 27 8F C 80 0
E 27 CB B3 80 0
E 28 11 7B 80 0
6 28 2A 43 0 0
6 28 78 D0 80 0
E 28 8F B1 0 0
E 28 B7 9D 0 0
E 2A 22 AF 80 0
E 2A 24 F8 80 0
6 2A 50 78 0 0
6 2A 9E 53 80 0
E 2A AF AF 80 0
E 2A E5 74 0 0
E 2B 45 6E 0 0
6 2B AC 63 80 0
6 2B BD A0 0 0
6 2B C8 28 80 0
6 2C 25 1C 0 0
6 2C 4C 40 80 0
E 2C D1 84 0 0
6 2D F 68 80 0
E 2D 6E BF 80 0
6 2D 81 3D 80 0
E 2D C6 47 0 0
E 2E 86 99 80 0
6 2E 9E DB 80 0
6 2E CB 5A 80 0
6 2E E0 C8 80 0
6 2F 3B BE 0 0
6 31 A4 6D 0 0
6 32 7E FF 80 0
E 33 48 42 80 0
6 33 6B C1 0 0
E 33 D8 15 80 0
6 33 E9 F5 0 0
6 34 97 C6 0 0
E 34 AE A3 80 0
6 35 97 BE 0 0
6 35 DB C5 80 0
6 35 F8 66 0 0
E 36 5F CB 80 0
6 36 7D A5 80 0
6 36 E3 19 0 0
6 37 15 4A 0 0
6 37 E2 78 80 0
6 37 E4 92 0 0
E 38 6 E7 0 0
6 38 25 7E 0 0
E 38 32 23 0 0
6 38 3E 78 80 0
E 38 90 DB 80 0
6 38 CC B4 0 0
6 39 6A 1 80 0
6 39 AD DD 0 0
6 3A BB 5B 80 0
6 3B 4 6A 80 0
E 3B 4F 6C 0 0
6 3B AB 1A 0 0
E 3B AF 47 0 0
6 3C 4A 9F 80 0
E 3C 95 14 0 0
6 3D 16 E7 0 0
6 3D 3A 1F 80 0
6 3D 4F 3E 0 0
6 3D 85 1D 80 0
E 3D 86 6A 0 0
6 3D C2 20 80 0
6 3E 64 6 0 0
6 3E 67 18 80 0
6 3E BC F0 0 0
6 3F 1C 4D 0 0
E 3F 2D D9 80 0
6 3F E2 B1 0 0
6 3F E4 25 0 0
6 40 E D0 0 0
6 40 17 A6 0 0
E 40 2F 1E 0 0
6 40 38 E4 0 0
E 40 47 2D 80 0
E 40 7C F0 0 0
6 41 30 C8 80 0
6 41 82 13 80 0
E 41 D5 B5 0 0
E 42 AB AE 0 0
E 44 9E D7 80 0
6 44 E4 49 80 0
E 45 45 D0 0 0
E 45 8A 54 0 0
6 45 BE AA 80 0
6 46 27 EE 0 0
6 46 7C 43 80 0
E 46 8F 17 80 0
E 47 9 84 0 0
6 48 FA A0 0 0
6 49 1B F4 80 0
6 49 56 A0 80 0
6 49 AD D0 0 0
6 49 C5 31 80 0
6 49 DC 33 0 0
6 4A 13 28 0 0
6 4A 4D A3 80 0
6 4A 99 1A 80 0
E 4B 19 48 80 0
6 4B 2B 6A 0 0
E 4B 4A ED 0 0
6 4B 78 47 80 0
6 4B DB CB 0 0
E 4C 31 F0 80 0
E 4C 71 58 0 0
E 4D A4 A9 80 0
E 4E 41 A3 0 0
6 4E CC 63 80 0
E 4F 25 C7 80 0
E 4F 52 CF 80 0
6 50 35 31 80 0
E 50 A6 61 80 0
6 51 7F 68 0 0
E 51 A0 A4 80 0
6 52 5A 3E 0 0
E 53 2A 2B 0 0
6 53 BD BD 0 0
E 54 75 81 80 0
E 54 C2 ED 0 0
6 54 E0 9D 80 0
6 54 E1 F3 0 0
6 54 F0 95 80 0
E 55 75 2E 0 0
6 55 B7 5E 80 0
6 55 CF DA 0 0
E 56 0 5 0 0
6 56 12 21 0 0
E 56 69 1 80 0
E 57 56 33 0 0
6 57 70 2B 80 0
6 57 F4 78 80 0
6 58 86 38 80 0
6 58 9F 87 0 0
6 58 BD D0 80 0
E 58 D3 66 0 0
E 59 1B 31 0 0
E 59 B8 EC 80 0
6 59 F3 A9 0 0
6 5A 6 BD 0 0
6 5A 19 5C 80 0
E 5A B1 C2 80 0
6 5B 1E AD 0 0
6 5B 4C 85 0 0
6 5B 4F 66 0 0
E 5B 59 C7 0 0
6 5B 71 97 80 0
E 5B B5 5 80 0
6 5D BD 2E 0 0
6 5D E9 CC 0 0
6 5E 8D 1C 0 0
E 5F BB AC 80 0
6 60 1D 6A 0 0
6 60 35 FE 0 0
6 60 A0 BB 0 0
E 60 D8 61 0 0
6 60 EE 6C 0 0
6 61 80 65 80 0
E 61 A0 41 80 0
6 61 CB 1F 0 0
6 62 58 0 0 0
E 62 92 1B 80 0
6 63 45 1E 0 0
E 63 C9 60 0 0
E 63 F2 92 0 0
E 64 34 3B 0 0
6 64 55 E2 80 0
E 64 F0 20 0 0
E 65 B1 D4 0 0
6 65 E8 CF 0 0
6 65 FB C9 0 0
E 66 39 4F 0 0
6 66 3A 20 0 0
E 66 D3 A9 0 0
E 66 FB B5 80 0
6 67 7 5D 80 0
6 67 76 25 80 0
6 67 AB B9 80 0
6 67 AD BE 80 0
E 67 D3 62 0 0
6 68 C A3 80 0
1E 68 C7 37 0 0
E 68 D6 70 0 0
6 69 A 19 0 0
6 69 69 40 0 0
E 6A 19 A0 80 0
6 6A 9B A7 0 0
E 6A E9 3 0 0
6 6B E 2E 0 0
E 6B 2B 36 80 0
6 6B 3B B2 80 0
6 6B 74 91 0 0
E 6B 82 E5 0 0
E 6B A3 83 0 0
6 6C 0 53 0 0
1E 6C 77 17 80 0
E 6D 2F E7 0 0
6 6D BF 65 0 0
6 6D D4 67 0 0
6 6D F1 D5 80 0
E 6E C 55 80 0
6 6E 22 C 80 0
6 6E 57 B0 80 0
6 6E 7E 58 0 0
6 6E 81 9B 0 0
E 6E BC D7 80 0
E 6F B 57 80 0
6 71 53 35 0 0
6 72 7C CA 0 0
E 73 36 F1 80 0
E 73 A1 6A 80 0
E 73 D9 BB 80 0
6 74 54 82 80 0
6 74 56 78 80 0
6 74 61 D5 80 0
6 74 9B F9 0 0
6 74 A7 1A 0 0
E 74 DF C7 80 0
E 75 0 62 0 0
6 75 16 2 0 0
6 75 1D 56 80 0
E 75 AB 68 80 0
E 76 3B A4 80 0
E 76 3D D8 80 0
E 76 69 5E 0 0
6 76 E8 D9 80 0
E 77 9B FA 0 0
6 77 AA C 80 0
6 78 DA 8E 80 0
E 78 E1 51 80 0
6 78 E6 EC 0 0
6 79 DA E7 80 0
6 7A 1 E2 80 0
E 7A 4 2A 0 0
6 7A C2 9F 80 0
6 7B 12 45 80 0
E 7B 2E D7 0 0
6 7C 4F E7 80 0
E 7C 63 5C 0 0
6 7D 65 66 0 0
E 7D 77 9C 0 0
E 7D F3 BB 80 0
6 7E 1F 88 0 0
E 7E 3F FA 0 0
E 7E 43 DE 80 0
6 7E 65 86 80 0
6 7E 73 9E 0 0
6 7E A0 40 80 0
6 7E BD 5D 0 0
6 7F 2C 66 80 0
6 7F 41 4C 80 0
6 7F 72 D3 0 0
6 80 62 B6 0 0
E 80 8C 44 80 0
E 81 E 40 0 0
6 81 62 A3 80 0
1E 81 AA 2F 0 0
E 82 DF 78 0 0
6 83 11 DF 80 0
E 83 3A 32 0 0
E 84 BE F 80 0
E 84 C3 48 0 0
E 84 E2 B7 80 0
6 85 4F CD 0 0
6 87 3F 6D 0 0
6 87 45 22 0 0
E 87 6E AD 0 0
6 88 6E 46 0 0
E 88 A4 E2 80 0
6 89 25 3A 0 0
E 89 4F 19 0 0
6 89 8A D2 0 0
6 8A 4 B1 80 0
E 8A 7D 78 80 0
6 8A AD 4B 0 0
6 8A B5 9A 80 0
E 8A C2 6F 80 0
6 8B 16 3 80 0
6 8B 71 D9 80 0
6 8B A3 1E 0 0
E 8B BA 22 80 0
E 8C 4B 53 0 0
6 8C 7B 7B 0 0
6 8C A5 56 80 0
E 8D 65 B2 80 0
