4 24 87 C4 80 0
4 24 A9 7 0 0
C 25 12 FA 0 0
4 25 44 B9 80 0
C 25 66 74 80 0
4 25 8E F8 0 0
4 25 AE 3B 80 0
4 25 BC 43 80 0
C 26 3E F5 80 0
C 27 1C DC 0 0
4 27 2D 33 80 0
C 28 C4 8E 80 0
4 29 23 BE 80 0
C 29 54 DB 0 0
4 2A 20 91 80 0
4 2A 80 BB 80 0
4 2A A1 91 0 0
4 2A CB 93 0 0
4 2A E6 94 0 0
4 2B 1E BC 80 0
4 2B 1E D5 0 0
4 2B 46 62 80 0
C 2C 18 A7 0 0
4 2D 48 C5 0 0
C 2D 6B 54 80 0
4 2D E1 DB 0 0
C 2E B6 DA 0 0
4 2E BF C8 0 0
C 2E E1 BF 80 0
4 30 67 E9 80 0
4 30 CE C0 0 0
4 31 14 44 80 0
C 31 66 A8 0 0
C 31 C8 A6 80 0
C 31 E2 3C 80 0
4 32 19 FB 0 0
C 33 71 8B 0 0
1C 33 E5 1F 0 0
C 34 58 6C 80 0
4 34 CD 1 0 0
4 35 39 1 0 0
4 35 76 8A 80 0
C 35 AA DE 80 0
C 35 CA DB 0 0
4 36 60 7C 80 0
4 37 2D C5 0 0
C 37 45 2B 0 0
C 37 6C 23 80 0
4 37 7A 85 0 0
4 37 8C 25 80 0
C 37 BA 8E 80 0
C 38 6A B9 80 0
C 39 74 A7 80 0
4 39 CD 7B 80 0
C 3A 17 42 80 0
4 3B 67 43 80 0
4 3B 6E 7B 0 0
4 3B 8F EB 0 0
C 3D 69 2D 0 0
4 3D 90 3B 80 0
4 3D 95 55 0 0
4 3E 46 75 0 0
C 3E AD 5C 0 0
4 3F 75 A 80 0
4 3F 96 4F 80 0
C 3F D1 AD 80 0
4 40 12 7F 0 0
4 40 3B 26 0 0
4 40 85 DF 80 0
4 40 AA B 80 0
4 41 7F 32 0 0
C 42 14 89 80 0
C 42 58 FE 0 0
4 42 7B 8B 80 0
4 42 F5 E6 0 0
C 43 38 52 0 0
C 44 1A B1 0 0
C 44 28 25 80 0
4 45 16 4 0 0
C 45 42 D6 0 0
4 45 82 B3 80 0
C 45 C6 26 80 0
4 46 12 5B 0 0
4 46 28 C5 0 0
4 46 65 50 80 0
C 46 9B 73 0 0
4 47 4D 91 80 0
C 48 5 60 0 0
C 49 30 C7 0 0
4 49 68 63 80 0
C 49 FE 57 80 0
C 4B 36 35 0 0
4 4B 51 93 80 0
4 4C 1D 8C 80 0
4 4C 9B 85 0 0
C 4D 1A 18 80 0
C 4D 51 FF 80 0
4 4D 81 BF 80 0
4 4D AE 3 0 0
4 4E 1F 93 0 0
4 4E A8 AF 80 0
4 4F 54 F7 0 0
C 4F 5C EE 0 0
4 4F B5 54 0 0
C 50 7E 3C 80 0
C 51 42 19 80 0
C 51 CD 22 0 0
C 51 E5 2F 0 0
C 52 72 35 80 0
4 52 BE BB 80 0
4 53 40 E9 0 0
4 53 BB 2A 80 0
4 54 E9 A 80 0
C 54 F8 7E 0 0
C 55 63 5E 80 0
C 56 11 A5 80 0
C 56 68 E0 0 0
4 56 F4 FD 0 0
C 57 77 B9 0 0
4 57 A8 2F 80 0
4 57 C9 A4 80 0
4 57 E2 41 80 0
4 59 73 AE 0 0
4 59 96 70 80 0
4 5A 14 2E 80 0
4 5A 17 41 80 0
4 5A C9 F 0 0
4 5B B8 7 0 0
C 5B BE 98 0 0
4 5B EF E7 80 0
4 5C 83 28 80 0
4 5C 88 5C 0 0
C 5C AF 2E 80 0
C 5C C4 A8 0 0
4 5C FA D9 80 0
C 5E 5A 3E 0 0
C 5F 18 C7 80 0
