4 3D 10 3C 0 0
4 3D D5 A3 80 0
C 3F 2 1B 0 0
4 3F 31 DB 80 0
4 3F 3F 98 0 0
4 3F 62 15 80 0
C 3F E0 6E 80 0
4 3F F8 39 0 0
C 40 3A 59 80 0
C 40 8F FB 80 0
4 42 1B 12 80 0
4 42 92 C8 0 0
C 42 A3 39 0 0
C 42 C7 10 0 0
4 44 29 33 0 0
C 44 48 1F 0 0
C 44 E2 88 0 0
4 45 38 51 80 0
4 45 E1 CB 80 0
4 46 3 2A 80 0
4 46 5D FD 80 0
4 46 A8 CF 0 0
4 46 E1 24 80 0
4 47 30 B3 80 0
C 47 E9 32 0 0
C 48 58 E3 0 0
C 48 6A 0 0 0
C 49 24 63 80 0
4 49 32 76 80 0
C 49 6F AA 80 0
4 49 A8 2D 0 0
4 4A 2D D1 0 0
4 4A A9 12 0 0
C 4A B5 9F 0 0
C 4A C9 2D 80 0
4 4A E7 10 80 0
4 4B 17 28 80 0
4 4B E1 11 80 0
4 4B F0 55 0 0
C 4B F8 76 0 0
4 4C 19 2D 0 0
C 4C 76 44 0 0
4 4D 2F 57 0 0
C 4D 52 6A 80 0
4 4D 9A DF 0 0
C 4D B9 88 80 0
C 4E 5 A1 80 0
1C 4E 5 A5 0 0
C 4E 65 17 80 0
4 4F 58 91 80 0
4 4F AE BC 80 0
C 4F BE 0 0 0
4 4F E9 FE 80 0
C 50 7C 6B 80 0
4 50 B5 CA 80 0
4 50 ED 78 80 0
4 50 F5 6 80 0
4 51 35 B3 0 0
4 51 A1 1C 0 0
4 51 E0 CC 0 0
4 51 E4 E0 0 0
C 52 9 BC 80 0
C 52 50 C 80 0
4 52 6C 22 0 0
4 52 6D 43 0 0
4 52 92 94 80 0
C 52 A5 29 0 0
C 53 6B F2 0 0
C 53 BE D3 0 0
4 53 C0 D6 0 0
4 53 F7 3F 80 0
4 54 B0 7B 0 0
4 55 1A D6 80 0
4 55 36 9B 0 0
C 55 88 95 0 0
C 55 FF 57 80 0
4 56 95 D8 80 0
4 57 B CE 80 0
C 57 1A FD 80 0
C 59 E6 50 80 0
4 5A C0 34 80 0
C 5B 3D 78 0 0
4 5B B5 23 80 0
C 5C 96 B6 0 0
4 5C B9 75 0 0
C 5D 3B B2 0 0
4 5D 3C 82 0 0
4 5E 10 D8 80 0
C 5E C8 D9 80 0
4 5E E6 A9 80 0
4 5F 24 74 0 0
4 5F 4D 84 80 0
4 5F AD 26 80 0
4 5F B7 91 80 0
4 60 21 51 80 0
4 60 87 8 0 0
4 60 F0 1B 80 0
C 61 36 E6 80 0
4 61 5A CD 80 0
4 61 7F 9 80 0
4 61 C3 9C 0 0
4 62 23 C8 80 0
4 63 88 59 0 0
4 63 D6 F3 80 0
4 63 DA F6 0 0
C 64 66 4D 0 0
4 64 7A 37 0 0
4 64 7C A0 80 0
1C 64 CE 8A 80 0
1C 65 78 F9 80 0
4 65 80 AD 0 0
C 66 35 2D 80 0
4 67 16 75 80 0
C 68 21 EE 80 0
4 68 68 D2 0 0
4 68 7F 7A 0 0
C 69 53 B1 0 0
4 69 F9 A2 80 0
C 6A 67 78 80 0
4 6A 70 72 80 0
C 6A 87 61 0 0
4 6A D1 22 0 0
1C 6B 6C EF 0 0
C 6C 87 38 0 0
C 6C C2 3E 0 0
4 6E 64 A1 0 0
C 6E 86 D3 0 0
4 6E C1 64 0 0
4 6F 77 D4 80 0
4 70 6B 4 80 0
4 70 8C 15 0 0
4 70 D8 65 80 0
4 70 F7 2B 80 0
C 71 14 80 80 0
C 71 9E 3A 0 0
4 71 DF 27 80 0
4 72 2F 64 80 0
4 72 D2 E0 80 0
4 73 56 34 0 0
4 73 F0 BE 80 0
4 74 0 F7 0 0
4 74 A8 70 80 0
4 75 89 E6 0 0
4 76 57 16 0 0
C 77 2C 17 80 0
4 77 7E E8 0 0
4 77 B3 1B 80 0
4 78 6 9C 80 0
C 78 55 98 0 0
C 79 2F A1 0 0
4 79 30 2 80 0
4 79 50 B3 0 0
4 79 DB 11 0 0
4 7A F5 9B 0 0
C 7B 31 66 0 0
4 7B 72 83 80 0
4 7B 9B 32 0 0
C 7C 36 C5 80 0
4 7C E2 86 0 0
4 7C EE D6 0 0
C 7D DF DE 80 0
C 7D F2 FE 80 0
C 7E 8 6A 0 0
4 7E 38 73 80 0
C 7F 3F BD 80 0
C 7F 47 C2 80 0
4 7F 5A 41 0 0
C 7F 5F 5E 0 0
C 7F 6A 48 80 0
C 7F 91 FA 80 0
4 7F F3 B9 80 0
4 80 55 AA 80 0
C 80 8D 94 0 0
4 80 95 CD 0 0
4 80 CB 4F 80 0
C 81 91 AD 80 0
4 82 47 92 0 0
4 83 49 72 80 0
4 84 34 78 0 0
C 84 5D BF 80 0
4 84 B5 5F 80 0
4 85 76 8D 80 0
C 85 91 CA 0 0
4 85 B3 5C 80 0
4 85 C3 8A 0 0
C 86 41 54 0 0
C 87 65 87 0 0
4 87 95 18 80 0
4 87 95 73 0 0
4 87 B3 F0 80 0
C 88 1D 46 80 0
4 88 5A 26 0 0
C 88 B5 B0 0 0
4 88 F1 3D 0 0
4 89 99 B0 0 0
C 8A 30 47 80 0
4 8A 35 4E 0 0
4 8A BA AF 80 0
4 8B 76 1C 80 0
C 8B 99 CB 80 0
4 8B F1 60 0 0
C 8C 1 DE 0 0
C 8C 4E 56 0 0
4 8C 87 9A 0 0
C 8D 2F 3 0 0
4 8D 92 3C 0 0
4 8D B4 75 0 0
4 8E 11 8D 80 0
4 8E 26 61 0 0
4 8E 6B F3 0 0
C 8E D0 2B 0 0
4 8E FA 47 0 0
4 8F 1D 1C 0 0
4 8F 6F 10 0 0
4 8F 74 CA 80 0
C 8F 84 EB 0 0
4 8F F5 25 0 0
C 90 25 1F 80 0
4 90 E9 63 0 0
4 91 39 C6 80 0
4 91 47 3C 80 0
C 91 BE 6D 0 0
C 92 CF B8 80 0
4 93 50 F8 80 0
4 93 BA C3 0 0
4 94 98 DD 0 0
