E 26 5D CD 80 0
6 26 74 71 0 0
6 26 FE D3 80 0
E 27 11 DB 80 0
6 27 47 28 0 0
E 27 D6 5E 0 0
6 28 12 E5 0 0
6 28 50 E2 0 0
E 28 98 81 80 0
6 28 C7 E9 80 0
6 29 9 52 0 0
6 29 84 97 80 0
E 29 90 6 0 0
E 2A 49 3A 0 0
E 2B 66 35 80 0
6 2B F2 6B 0 0
E 2C 15 AE 80 0
E 2C 26 3D 0 0
E 2C 43 73 0 0
6 2C BC 93 0 0
6 2D 4 89 80 0
6 2D 76 19 80 0
6 2D C8 E7 80 0
6 2D CA 96 0 0
E 2D FA 7B 80 0
6 2E 2D 1C 0 0
6 2F CF 2F 80 0
6 2F E1 9B 0 0
6 31 56 6D 0 0
6 31 C1 DA 0 0
6 31 C8 87 0 0
E 32 3F 1A 0 0
6 32 76 AE 0 0
6 33 37 A1 0 0
6 33 AC 46 0 0
6 33 AC 95 80 0
6 35 32 C8 80 0
6 35 91 B5 0 0
6 35 95 5B 80 0
6 35 A1 5B 80 0
6 35 FE C1 80 0
6 36 2C 1F 0 0
6 36 47 A9 0 0
E 36 61 27 0 0
E 36 66 B9 80 0
6 37 2A 2D 0 0
6 37 52 6 0 0
6 37 F5 D0 0 0
E 38 22 53 80 0
E 38 76 82 80 0
6 38 D9 1A 0 0
6 39 6C 8C 80 0
6 3A 72 9E 0 0
6 3A AF F0 0 0
6 3B 3D C 0 0
E 3B 80 89 80 0
6 3D D5 FB 0 0
6 3D D7 93 0 0
E 3D E8 1A 80 0
E 3E 60 2F 80 0
6 3E B6 39 80 0
6 3E C4 95 0 0
E 3E E2 CB 0 0
E 40 94 F9 80 0
6 40 EB 91 0 0
E 41 C2 42 0 0
E 41 FC 5F 80 0
6 42 1F 22 80 0
6 42 7B 9 80 0
E 42 8D 6F 0 0
E 43 68 5 0 0
E 44 2 C3 0 0
E 44 3D BC 80 0
6 44 78 2 80 0
E 44 85 BA 80 0
E 44 8D 8F 0 0
E 45 AC BA 0 0
E 45 EF F6 80 0
6 46 4A B9 80 0
6 46 CB BF 80 0
E 47 3D 2E 0 0
6 47 EF AD 0 0
6 48 2C 87 0 0
E 48 86 AB 80 0
6 48 C7 D8 80 0
6 48 D2 96 0 0
6 49 60 A6 0 0
6 49 8A 5D 80 0
E 49 A6 D3 80 0
6 49 E4 D2 0 0
6 4A 3C 9F 0 0
6 4A 52 73 0 0
6 4A 64 6A 80 0
6 4B 3B 58 0 0
E 4B B9 F5 80 0
6 4C BB 5A 80 0
6 4D 34 4 0 0
6 4E 24 DD 0 0
6 4F 3 19 80 0
6 4F 2F 70 80 0
E 4F 76 77 0 0
6 4F E5 D4 0 0
E 50 8 5D 0 0
6 50 13 ED 80 0
6 50 5F 8B 80 0
E 50 C2 9B 80 0
6 51 31 A6 80 0
6 52 52 DD 0 0
E 53 5C 2B 80 0
6 53 8A 2A 0 0
E 53 AB BC 0 0
6 53 CC 75 80 0
6 53 FF 7 80 0
6 54 39 90 0 0
E 54 ED EA 80 0
E 55 3A EB 80 0
6 55 4C E4 0 0
E 55 53 D9 80 0
6 55 72 8B 80 0
E 56 20 5A 0 0
6 56 8D C1 0 0
6 56 AF F2 0 0
E 57 3E C8 80 0
6 58 1C 38 0 0
6 58 21 82 0 0
6 58 26 FB 80 0
6 58 56 38 80 0
6 58 7C 30 80 0
6 58 8E 20 80 0
6 59 36 55 0 0
E 59 74 D5 80 0
E 59 E7 21 0 0
E 5A 54 DC 80 0
6 5B 64 13 80 0
E 5C 88 30 80 0
E 5D 2B 28 0 0
6 5D 2F 86 80 0
E 5D 4D A3 0 0
E 5D 95 AF 80 0
6 5E 50 A7 0 0
E 5F 2D 80 80 0
6 5F 5E 15 0 0
E 5F AD 95 80 0
6 5F CF 78 0 0
6 60 1C 44 80 0
6 61 39 D8 80 0
6 61 63 20 80 0
6 61 81 14 0 0
6 62 15 3 0 0
E 62 60 8B 0 0
E 63 46 99 80 0
E 63 57 DA 0 0
6 63 6B C1 80 0
6 63 C0 21 80 0
6 63 CB CD 80 0
6 63 E0 2C 0 0
E 64 1F 42 0 0
E 64 BC E3 80 0
6 64 D3 50 80 0
6 65 4B A1 80 0
E 65 7A C4 80 0
6 66 9F F4 80 0
E 66 B1 6A 0 0
E 66 C4 C6 80 0
E 67 17 5D 0 0
6 67 26 8B 80 0
E 67 62 18 80 0
6 67 ED F6 0 0
6 68 D 1D 0 0
E 68 3F 5 0 0
E 68 54 D5 0 0
E 68 65 A1 80 0
6 68 90 9C 0 0
6 68 E8 76 0 0
6 68 F6 BC 0 0
6 69 9B F2 80 0
6 69 C7 CA 80 0
6 69 ED 47 80 0
6 6A 22 41 0 0
6 6B 99 46 80 0
E 6B D3 3E 80 0
6 6C 24 FA 0 0
E 6D 40 BF 0 0
6 6E 63 BA 80 0
6 6E 7B F2 0 0
6 6F 7 EA 0 0
